Unnamed: 0,SuperMarketNew2004,SuperMarketPre1980,QuickServiceRestaurantNew2004,QuickServiceRestaurantPre1980,PrimarySchoolNew2004,PrimarySchoolPre1980,StripMallNew2004,StripMallPre1980,WarehouseNew2004,WarehousePre1980,Stand-aloneRetailNew2004,Stand-aloneRetailPre1980,SecondarySchoolNew2004,SecondarySchoolPre1980,FullServiceRestaurantNew2004,FullServiceRestaurantPre1980,SmallOfficeNew2004,SmallOfficePre1980,MediumOfficeNew2004,MediumOfficePre1980,LargeOfficeNew2004,LargeOfficePre1980,HospitalNew2004,HospitalPre1980,MidriseApartmentNew2004,MidriseApartmentPre1980,SmallHotelNew2004,SmallHotelPre1980,LargeHotelNew2004,LargeHotelPre1980
1348,54.9174107649,59.4051252487,4.87160683824,5.31152053154,27.7898727645,32.7270717945,7.5534996038,9.6585699883,7.70791213723,8.44546656371,6.28484183022,8.04812819733,58.9279152202,65.4844954799,7.44847695072,8.00465866867,2.1140093842,2.4569416974,16.7876760881,19.0536960766,118.964314823,130.360905712,252.573917259,312.020219563,7.60561988618,9.23421899617,17.40909167,21.5399131884,62.0734495893,69.6869045404
1349,54.3539763941,59.1081900021,4.87557514176,5.3090230104,27.787438227,32.724529351,7.5534996038,9.6585699883,8.20170255653,7.66248247588,6.28484183022,8.04812819733,58.9229445909,65.4792469937,7.45375485044,8.00213262591,2.1140093842,2.4569416974,16.7876760881,19.0536960766,118.964314843,130.360905732,251.640071479,310.874076706,7.58737744306,9.28183059092,17.1891852296,21.3156492463,61.1405639567,69.0128490436
1350,53.8979222989,58.8728513743,4.87690331465,5.30568897699,27.7852879842,32.7222402141,7.5534996038,9.6585699883,7.70791213723,8.49875343149,6.28484183022,8.04812819733,58.9187827172,65.474752928,7.45500450976,7.99800290256,2.1140093842,2.4569416974,16.7876760881,19.0536960766,118.964314753,130.360905641,250.839451782,309.892919075,7.50816074692,9.23637914657,17.0996610356,21.1910441429,60.6894183064,68.5899265302
1351,53.4159479707,58.6112609803,4.87760054421,5.30250840851,27.782873155,32.7196727452,7.5534996038,9.6585699883,8.22805602724,7.6729692528,6.28484183022,8.04812819733,58.9138564248,65.4695158883,7.45596733278,7.99437787496,2.1140093842,2.4569416974,16.7876760881,19.0536960766,118.964314812,130.3609057,249.853428217,308.679575143,7.50004591618,9.27387865404,16.9940735622,21.0585817195,59.8331266001,67.5944428684
1352,56.4666652624,61.8427003955,4.95325819947,5.37472564484,27.8940162696,32.830609815,7.5534996038,9.6585699883,7.70791213723,8.56531602697,6.28484183022,8.04812819733,59.136072787,65.691360882,7.53184785868,8.06619111928,2.1140093842,2.4569416974,16.7876760881,19.0536960766,125.075413657,136.472004545,253.699551798,323.576924219,8.5312491755,10.3523400827,17.6893185744,21.7253355504,61.6202956107,70.0756978602
1353,56.1152516848,61.621682848,4.95171556284,5.37185325233,27.8923829629,32.8287693602,7.5534996038,9.6585699883,8.25408002968,7.68498769436,6.28484183022,8.04812819733,59.1330025184,65.6879253312,7.53060219266,8.06300460176,2.1140093842,2.4569416974,16.7876760881,19.0536960766,125.075413753,136.472004641,252.698820981,322.347772491,8.53326725197,10.3709448871,17.6547608894,21.6536221945,61.6411286013,70.4290183756
1354,55.4967729225,61.1411911857,6.97727244236,8.02209705928,27.8828883319,32.8190857813,7.5534996038,9.6585699883,7.70791213723,8.69669917475,6.28484183022,8.04812819733,59.1140108755,65.6686480769,11.2470181563,13.9548550261,2.1140093842,2.4569416974,16.7876760881,19.0536960766,137.29831934,148.694910231,251.591548423,321.003109395,10.8213797508,12.6502762662,19.6734920144,23.7390635355,67.4400199355,76.673583242
1355,55.1217967545,60.8778495781,6.93005562655,8.01867351986,27.8804963403,32.8164445666,7.5534996038,9.6585699883,8.28438645024,7.69570759388,6.28484183022,8.04812819733,59.1092644984,65.6635565635,11.1986230468,13.930277053,2.1140093842,2.4569416974,16.7876760881,19.0536960766,137.298319013,148.694909904,250.455423244,319.635027298,10.8309548591,12.667062027,19.6254067166,23.6625788183,67.1592527068,77.006380667
1356,70.0469278359,81.0618357354,14.172802319,16.0045117067,27.8852477675,32.8209417628,10.78927907,15.6885443485,7.70791213723,8.80017720984,9.47258427254,16.3032016669,59.1189080303,65.6728725237,19.1916753815,22.4401381983,2.1140093842,2.4569416974,16.7876760881,19.0536960766,161.74200714,173.138598028,286.104717631,366.259539752,13.5170230762,15.319484897,29.979480696,36.8882725868,102.93943317,120.122265072
1357,70.7637022504,80.7867834248,14.1800557529,16.0082985014,27.8857024182,32.8211626619,10.78927907,15.6885443485,8.30324490535,7.7010055965,9.45615346663,16.3350002782,59.1200597954,65.6737349246,19.1854914003,22.4395952836,2.1140093842,2.4569416974,16.7876760881,19.0536960766,161.742007151,173.138598038,285.163620136,365.065921392,13.5484735501,15.2857311408,30.117816512,37.0967543098,103.724977726,121.010993163
